objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662661610832228,22.00331,20.52337,19.90073,19.30682,3,4002,301,0.41011,0.061264,0.329395,0.10412
1237662661610832656,19.6697,19.10199,18.82375,18.84753,3,4002,301,0.198477,0.032929,0.216643,0.0910019
1237662661610832938,21.39649,20.60024,20.32113,20.23205,3,4002,301,0.162605,0.060193,0.141924,0.0559063
1237662661610832954,20.99043,19.17345,18.469,18.08526,3,4002,301,0.389686,0.019861,0.38809,0.0623756
1237662661610832976,20.52739,19.91226,19.82062,19.16702,3,4002,301,0.102843,0.06941,0.115781,0.0895937
1237662661610833059,21.69863,20.38508,19.86426,19.5234,3,4002,301,0.199168,0.019603,0.193988,0.0323677
1237662661610833096,21.1426,20.41576,20.0222,19.89941,3,4002,301,0.171412,0.056461,0.1798,0.128978
1237662661610833521,22.82759,20.98281,19.95657,19.74387,3,4002,301,0.555319,0.026175,0.52681,0.0910923
1237662661610833535,22.25767,19.79214,18.93696,18.40563,3,4002,301,0.512168,0.138761,0.486893,0.104155
1237662662147244636,18.75652,18.4205,18.17318,18.10122,3,4002,301,0.054677,0.01399,0.0538054,0.0290905
1237662662147245479,22.19227,20.84071,20.46631,20.37938,3,4002,301,0.312442,0.091844,0.283422,0.120679
1237662662147376347,22.10534,20.26535,19.72502,19.26619,3,4002,301,0.330712,0.018957,0.343535,0.0557362
1237662662147441776,21.57274,20.52025,20.02365,19.52444,3,4002,301,0.298189,0.052789,0.21107,0.103267
1237662662147441910,22.20029,20.94762,20.40021,20.04723,3,4002,301,0.276034,0.061733,0.237287,0.0972085
1237662662147442361,19.17759,20.4302,28.66032,17.8104,3,4002,301,0.164055,-1000,0.0547666,0.0427354
1237662662147506250,20.54056,19.15632,18.55965,18.35,3,4002,301,0.241258,0.059212,0.245475,0.0747694
1237662662147506837,22.29699,20.96805,20.19319,19.61111,3,4002,301,0.477596,0.075473,0.425615,0.119126
1237662662147507299,22.65285,20.67764,19.90598,19.27444,3,4002,301,0.437303,0.021583,0.432896,0.0643078
1237662662147572511,21.59705,20.31763,19.77463,19.32135,3,4002,301,0.221779,0.033827,0.197588,0.050117
1237662662147637430,21.43817,19.65965,18.96521,18.48548,3,4002,301,0.384454,0.023853,0.364425,0.0585133
1237662662147637756,22.10489,20.15458,19.46546,19.11271,3,4002,301,0.367526,0.022949,0.376346,0.0791919
1237662662147638570,21.95099,20.95883,20.51426,20.1617,3,4002,301,0.41406,0.117306,0.258106,0.144557
1237662662147703668,22.34049,20.86022,20.42655,19.91028,3,4002,301,0.301724,0.045329,0.232968,0.097318
